5/23/2018,14,42,12,EDT KD0AWK-15>CQ,KE0CRR-10,WIDE2*,qAR,4548.51,4548.51,9405.23,9405.23,24833,24833,StrTrk,-7,C,1.4,V,9,152,
5/23/2018,14,43,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB0NLY-2!,4548.47,N/,9405.07,WO112/005/A=,25631,StrTrk,-8,C,1.4,V,9,153,,
5/23/2018,14,44,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0AGI-13!,4548.44,N/,9404.85,WO085/012/A=,26576,StrTrk,-9,C,1.39,V,9,154,,
5/23/2018,14,45,11,EDT KD0AWK-15>CQ,WIDE2-1,qAo,K9MLS!,4548.45,N/,9404.5,WO086/019/A=,27416,StrTrk,-11,C,1.39,V,9,155,,
5/23/2018,14,46,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,W0KGW-10!,4548.5,N/,9404.13,WO078/016/A=,28236,StrTrk,-11,C,1.38,V,9,156,,
5/23/2018,14,47,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.57,N/,9403.79,WO077/018/A=,29076,StrTrk,-12,C,1.37,V,9,157,,
5/23/2018,14,48,10,EDT KD0AWK-15>CQ,WIDE2-1,qAR,W0NE-1!,4548.65,N/,9403.39,WO075/016/A=,29847,StrTrk,-13,C,1.37,V,9,158,,
5/23/2018,14,49,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0KFB-3!,4548.72,N/,9403.01,WO087/021/A=,30565,StrTrk,-17,C,1.36,V,9,159,,
5/23/2018,14,50,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.77,N/,9402.44,WO085/027/A=,31418,StrTrk,-18,C,1.37,V,9,160,,
5/23/2018,14,51,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB9TYC!,4548.77,N/,9401.79,WO088/026/A=,32150,StrTrk,-18,C,1.36,V,9,161,,
5/23/2018,14,52,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB9TYC!,4548.8,N/,9401.15,WO083/030/A=,32918,StrTrk,-19,C,1.36,V,9,162,,
5/23/2018,14,53,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.85,N/,9400.51,WO085/030/A=,33741,StrTrk,-21,C,1.35,V,9,163,,
5/23/2018,14,54,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB9TYC!,4548.91,N/,9359.72,WO087/035/A=,34545,StrTrk,-22,C,1.35,V,9,164,,
5/23/2018,14,55,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KD0ZTJ!,4548.93,N/,9358.9,WO092/036/A=,35424,StrTrk,-24,C,1.34,V,9,165,,
5/23/2018,14,59,10,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0AN-1!,4548.72,N/,9355.77,WO114/027/A=,39060,StrTrk,-31,C,1.32,V,9,169,,
5/23/2018,15,0,10,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0AN-1!,4548.58,N/,9354.9,WO100/037/A=,39975,StrTrk,-34,C,1.31,V,9,170,,
5/23/2018,15,1,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.48,N/,9353.86,WO101/047/A=,40864,StrTrk,-35,C,1.28,V,9,171,,
5/23/2018,15,2,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.37,N/,9352.79,WO099/042/A=,41616,StrTrk,-38,C,1.29,V,9,172,,
5/23/2018,15,3,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0QXM!,4548.16,N/,9351.8,WO113/043/A=,42528,StrTrk,-38,C,1.26,V,9,173,,
5/23/2018,15,4,10,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0AN-1!,4547.79,N/,9350.78,WO119/046/A=,43404,StrTrk,-41,C,1.27,V,9,174,,
5/23/2018,15,5,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB9TYC!,4547.37,N/,9349.98,WO131/043/A=,44119,StrTrk,-41,C,1.27,V,9,175,,
5/23/2018,15,6,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,KB9TYC!,4546.9,N/,9349.26,WO134/034/A=,44923,StrTrk,-40,C,1.26,V,9,176,,
5/23/2018,15,7,11,EDT KD0AWK-15>CQ,WIDE2-1,qAR,N0AN-1!,4546.49,N/,9348.62,WO133/036/A=,45661,StrTrk,-42,C,1.26,V,9,177,,
