Flight Time, Lat, Long, Altitude (ft), Date, Hour:Min:Sec, Fix, Accel x, Accel y, Accel z, Internal Ambient (K), External Ambient (K), Battery (K), OPC (K), OPC Heater Status, Battery Heater Status, External Pressure (PSI)
0:00:03,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-4,-25,17,303.21,303.84,146.15,299.09,off,off,-4.72
0:00:06,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-4,-25,17,303.27,303.65,146.15,299.09,on,off,-5.48
0:00:10,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-6,-7,27,303.27,303.65,146.15,299.15,on,off,-5.48
0:00:13,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,3,-8,25,303.27,303.96,146.15,299.15,on,off,-5.48
0:00:16,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,2,-2,28,303.27,304.15,146.15,299.15,on,off,-5.61
0:00:20,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,0,30,303.27,304.40,146.15,299.15,on,off,-5.61
0:00:23,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-4,-1,25,303.27,304.59,146.15,299.15,on,off,-5.61
0:00:26,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-3,0,27,303.27,304.77,146.15,299.15,on,off,-5.61
0:00:30,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-1,3,31,303.34,305.02,146.15,299.15,on,off,-5.61
0:00:33,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,19,-12,36,303.34,304.65,146.15,299.15,on,off,-5.61
0:00:37,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,-9,28,303.34,304.46,146.15,299.21,on,off,-5.61
0:00:40,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,3,-11,26,303.34,303.90,146.15,299.34,on,off,-5.61
0:00:43,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,-10,27,303.34,303.71,146.15,299.40,on,off,-5.61
0:00:47,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,4,-11,26,303.27,303.71,146.15,299.46,on,off,-5.48
0:00:50,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,3,-10,27,303.27,303.77,146.15,299.52,on,off,-5.35
0:00:54,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,0,-12,27,303.27,303.84,146.15,299.65,on,off,-5.48
0:00:57,0.000000,0.000000,0.00,0/0/2000,00:00:00,No Fix,-2,-11,26,303.27,303.90,146.15,299.71,on,off,-5.61
