OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
35,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,19,94,0,0,5.158,1.398,1.590,1.898,1.911
17,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4.455,1.381,1.257,1.507,1.510
38,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,25,162,0,0,4.336,1.388,1.891,2.411,4.738
24,4,2,0,2,0,1,1,0,0,0,0,0,0,0,0,28,0,0,31,4.129,1.387,1.446,2.128,3.071
26,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,4.112,1.387,2.118,2.561,2.570
32,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,27,138,0,49,4.035,1.387,1.899,2.414,3.177
25,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,25,25,0,0,4.023,1.387,1.521,1.949,2.146
38,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,27,0,3.978,1.387,2.608,3.161,3.198
28,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,4.011,1.381,1.646,2.095,2.299
34,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,27,140,0,0,3.974,1.387,2.031,2.606,2.816
27,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4.028,1.387,1.767,1.959,1.961
50,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,20,25,0,0,4.074,1.388,2.461,2.872,9.232
39,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,22,243,0,0,4.095,1.387,2.159,2.545,2.559
41,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,4.126,1.387,2.431,2.836,2.842
38,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,23,0,53,0,4.136,1.387,2.066,2.450,2.491
32,9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22,235,0,0,4.175,1.381,1.924,2.318,4.741
38,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,31,41,0,0,4.074,1.387,2.029,2.311,34.063
40,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,28,35,0,0,4.033,1.387,2.305,2.896,5.395
25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,4.046,1.387,1.337,1.468,1.471
39,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,23,25,47,0,4.062,1.387,2.330,3.003,3.230
35,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,4.053,1.387,1.976,2.447,4.931
28,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,21,227,0,0,4.087,1.387,1.550,1.980,2.181
20,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,39,0,0,4.086,1.381,1.350,1.559,1.563
31,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4.054,1.387,1.725,1.930,1.932
30,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,4.055,1.387,1.612,1.957,1.973
36,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,24,31,0,43,4.056,1.387,1.903,2.391,3.147
43,10,3,2,0,1,0,0,0,0,0,0,0,0,0,0,22,28,31,0,4.109,1.387,2.750,3.300,3.340
36,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.161,1.387,2.101,2.406,2.417
37,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0,0,4.208,1.387,1.775,1.960,1.963
35,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,4.077,1.381,1.872,2.035,2.036
34,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,4.117,1.387,2.098,2.547,2.562
38,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,9,0,0,4.033,1.387,2.245,2.502,2.506
29,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0,4.047,1.387,1.528,1.715,1.720
35,14,3,1,0,1,0,0,0,0,0,0,0,0,0,0,24,29,25,0,4.054,1.387,2.712,3.259,3.296
36,7,3,1,0,1,2,0,0,0,0,0,0,0,0,0,22,25,49,0,4.092,1.387,2.249,3.054,3.467
34,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,4.113,1.387,1.933,2.247,2.253
49,7,4,2,1,0,1,1,0,0,0,0,0,0,0,0,20,138,0,47,4.183,1.381,2.842,3.735,4.669
36,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,0,4.287,1.387,2.050,2.334,2.338
34,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,233,0,0,4.333,1.387,2.002,2.248,2.252
36,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28,47,0,0,4.255,1.387,1.783,1.993,2.004
30,11,2,1,0,1,1,0,0,0,0,0,0,0,0,0,22,31,27,0,4.285,1.387,2.095,2.682,2.896
30,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,23,29,31,0,4.281,1.387,1.961,2.375,2.416
33,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,23,0,0,4.278,1.387,2.107,2.527,4.880
36,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,4.312,1.381,1.863,2.171,2.184
37,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0,0,4.328,1.387,1.806,2.041,2.046
35,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,23,24,0,0,4.318,1.387,2.138,2.446,2.453
36,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,17,98,0,0,4.419,1.387,2.055,2.628,2.813
35,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,30,0,0,4.328,1.387,1.754,2.035,2.042
36,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,22,31,0,0,4.335,1.387,1.754,2.108,2.289
32,16,4,1,2,0,1,0,0,0,0,0,0,0,0,0,22,25,0,0,4.360,1.387,2.640,3.414,3.613
43,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,31,122,0,0,4.136,1.381,2.566,2.899,2.905
31,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.145,1.387,1.771,2.047,2.057
37,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,19,0,0,0,4.184,1.387,1.680,1.964,28.448
32,8,1,1,1,0,2,1,0,0,0,0,0,0,0,0,28,27,0,41,4.090,1.387,1.994,2.843,3.976
40,9,4,2,0,0,0,0,0,0,0,1,0,0,0,0,17,25,0,0,4.251,1.387,2.546,3.057,28.959
37,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.252,1.387,2.080,2.318,2.321
24,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,25,29,30,0,4.220,1.387,1.477,1.877,1.941
29,14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,4.193,1.381,2.259,2.683,2.698
39,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,27,32,0,0,4.135,1.387,2.470,3.043,3.062
34,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.199,1.387,1.867,2.143,2.153
42,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,19,35,0,0,4.260,1.358,2.543,3.048,3.057
35,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,23,32,63,0,4.260,1.387,1.939,2.389,2.427
25,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,27,23,23,0,4.204,1.387,1.465,1.990,2.215
26,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,26,134,47,0,4.154,1.387,1.848,2.399,2.447
31,7,3,3,0,0,1,0,0,1,0,0,0,0,0,0,22,33,0,0,4.183,1.381,2.048,2.802,9.213
30,9,2,1,1,1,1,1,0,0,0,0,0,0,0,0,20,49,33,41,4.265,1.387,1.988,2.797,3.735
36,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,20,71,29,0,4.283,1.387,1.892,2.324,2.360
43,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4.222,1.387,2.824,3.413,3.420
33,12,5,2,0,1,0,0,0,0,0,0,0,0,0,0,21,28,31,0,4.291,1.387,2.538,3.190,3.230
34,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,33,0,0,4.322,1.387,1.744,1.961,1.972
45,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,31,23,33,0,4.203,1.387,2.321,2.694,2.729
34,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,33,0,4.176,1.381,1.948,2.275,2.307
41,12,4,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,47,4.281,1.387,2.716,3.311,4.026
36,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,17,30,0,0,4.368,1.387,1.931,2.281,2.291
29,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,21,28,0,29,4.412,1.387,1.853,2.281,2.977
32,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,4.395,1.387,1.783,2.060,2.071
41,3,5,1,0,1,0,0,0,0,0,1,0,0,0,0,17,27,37,0,4.446,1.387,2.151,2.671,27.464
38,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0,17,125,0,0,4.582,1.387,2.392,2.999,3.023
33,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,22,25,0,0,4.572,1.381,1.646,1.950,1.969
37,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,4.436,1.387,1.880,2.259,8.097
32,9,1,0,0,0,2,1,0,0,0,0,0,0,0,0,23,0,0,49,4.412,1.387,1.874,2.567,3.607
33,10,3,2,1,0,0,2,0,0,0,0,0,0,0,0,22,28,0,44,4.418,1.387,2.187,3.007,4.401
29,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,23,0,35,0,4.401,1.387,1.730,2.104,2.143
41,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,4.448,1.387,2.064,2.402,2.577
41,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,23,27,27,33,4.431,1.387,2.130,2.726,3.454
36,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,35,0,25,0,4.090,1.381,2.280,2.671,2.712
38,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,30,45,31,0,4.027,1.387,1.981,2.466,2.693
44,7,4,3,1,2,0,0,0,0,0,0,0,0,0,0,26,96,33,0,3.998,1.387,2.794,3.602,3.686
