OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880607                                            
Config info:
GSC,1.000
LaserDAC,209
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.469,1.388,0.196,0.268,0.269
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.524,1.388,0.586,0.627,0.627
4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.524,1.381,0.293,0.571,0.791
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.524,1.388,0.287,0.361,0.362
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.524,1.388,0.189,0.427,3.278
6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3.524,1.388,0.443,0.637,0.644
6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,3.524,1.388,0.395,0.476,0.479
4,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,19,29,0,0,3.532,1.388,0.496,0.786,14.555
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.499,1.387,0.319,0.340,0.341
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.524,1.388,0.222,0.241,0.241
2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,3.555,1.382,0.277,0.563,0.782
5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,29,0,3.633,1.388,0.474,0.636,0.671
3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,35,0,3.633,1.388,0.153,0.466,0.713
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3.615,1.388,0.359,0.444,0.446
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.615,1.388,0.238,0.372,0.374
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.604,1.388,0.342,0.376,0.376
4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,15,29,25,0,3.624,1.388,0.498,1.017,1.270
6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,3.654,1.381,0.556,0.715,0.719
5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,17,0,0,3.652,1.359,0.439,0.585,0.589
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.634,1.388,0.431,0.467,0.467
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.634,1.388,0.229,0.236,0.236
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.634,1.388,0.237,0.370,0.372
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.651,1.388,0.446,0.534,0.535
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.651,1.388,0.154,0.230,0.239
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3.651,1.382,0.213,0.275,0.278
5,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3.651,1.388,0.344,0.837,74.628
7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.666,1.388,1.006,1.333,1.337
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666,1.388,0.091,0.093,0.093
6,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,25,29,0,43,3.638,1.388,0.462,0.982,2.659
7,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,23,0,3.638,1.387,0.448,0.905,36.704
8,1,2,0,2,0,1,0,0,2,0,1,1,1,0,0,17,0,0,0,3.648,1.388,0.672,1.544,135.766
8,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,37,27,3.648,1.381,0.587,1.355,5.007
6,2,1,0,2,0,1,0,1,1,1,0,0,0,0,0,16,0,0,0,3.673,1.387,0.560,1.451,24.698
8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,3.673,1.387,0.397,0.658,0.870
2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,17,17,27,0,3.683,1.388,0.396,0.711,35.851
