OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
63,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,27,43,87,0,3.630,1.398,3.075,3.466,3.538
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.414,1.381,2.165,2.256,2.257
58,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,147,0,4.484,1.388,2.444,2.727,2.757
71,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,22,0,149,0,4.475,1.387,2.951,3.447,3.541
50,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,121,0,4.492,1.387,1.952,2.381,2.495
54,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,143,0,4.573,1.387,2.170,2.439,2.494
63,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,41,0,138,0,3.939,1.387,2.988,3.372,3.438
49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,37,0,3.818,1.387,2.222,2.404,2.437
44,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,147,0,3.281,1.381,2.691,2.959,2.998
54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3.467,1.387,2.840,2.958,2.959
43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,3.467,1.388,2.097,2.216,2.219
52,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,147,0,3.513,1.388,2.736,3.020,3.058
43,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,19,27,144,0,3.659,1.387,2.319,2.711,2.783
50,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,18,25,141,0,3.731,1.387,2.536,3.349,3.834
52,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.805,1.387,2.592,2.760,2.762
51,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,21,25,147,0,3.823,1.381,2.436,2.739,2.776
46,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,131,0,3.920,1.387,2.255,2.467,2.500
54,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,93,0,0,3.704,1.387,2.704,2.922,2.926
47,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,139,0,3.704,1.387,2.311,2.833,5.583
35,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,24,0,37,0,3.719,1.388,2.014,2.582,2.826
52,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,139,0,3.816,1.387,2.699,3.310,3.444
49,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,0,143,0,3.832,1.387,2.305,2.568,2.610
48,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,35,137,0,3.832,1.381,2.226,2.511,2.548
43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.886,1.387,2.062,2.154,2.154
41,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16,0,167,47,3.937,1.388,1.890,2.267,3.072
42,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,3.976,1.387,2.065,2.394,2.589
60,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,30,95,0,0,3.910,1.387,3.039,3.474,3.675
56,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,42,0,118,0,3.752,1.387,2.923,3.549,3.686
56,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,3.752,1.387,2.730,2.912,2.921
51,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,0,0,3.778,1.381,2.339,2.824,5.701
61,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,47,27,0,0,3.729,1.387,2.851,3.260,3.479
53,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,145,0,3.765,1.387,2.733,2.976,3.010
48,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,3.742,1.387,2.382,2.753,5.440
64,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,132,0,3.742,1.387,2.881,3.290,3.392
46,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,3.679,1.388,2.485,2.685,2.694
51,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,142,0,3.679,1.387,2.330,2.619,2.688
75,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,21,220,163,0,3.704,1.381,3.691,4.119,4.167
37,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.731,1.387,2.007,2.262,2.265
52,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,20,23,139,0,3.774,1.387,2.772,3.377,10.277
63,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,123,0,3.866,1.387,3.019,3.255,3.288
41,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,48,0,141,0,3.618,1.387,2.500,2.943,2.990
67,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,3.605,1.387,3.414,3.801,3.823
59,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,51,7,146,0,3.506,1.387,3.227,3.883,3.997
45,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,21,21,137,0,3.520,1.381,2.361,2.681,2.722
57,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,29,31,131,0,3.511,1.387,3.231,4.152,4.347
54,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,15,0,143,0,3.590,1.387,2.791,3.560,3.917
55,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,108,0,3.650,1.387,2.871,3.387,3.493
39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,145,0,3.672,1.387,1.857,2.033,2.068
48,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,20,47,141,0,3.716,1.387,2.524,2.968,3.040
55,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,20,66,137,0,3.745,1.387,2.759,3.140,3.181
50,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,3.772,1.381,2.391,2.722,2.928
43,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,24,31,144,0,3.790,1.387,2.239,2.617,2.688
57,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,41,0,0,3.790,1.387,2.759,2.926,2.929
41,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,31,143,0,3.831,1.387,2.043,2.295,2.331
46,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,30,0,151,0,3.763,1.387,2.678,3.112,3.181
55,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,79,35,0,0,3.763,1.387,2.711,3.116,3.325
48,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,23,0,70,0,3.797,1.387,2.693,3.270,3.373
