OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,4.328,1.387,1.252,1.304,1.304
18,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,16,29,0,0,4.379,1.388,1.691,2.092,2.100
16,2,1,1,0,1,2,0,1,0,0,0,0,0,0,0,18,23,29,0,4.412,1.381,1.345,2.519,6.716
15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4.503,1.387,1.169,1.248,1.248
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.503,1.388,1.337,1.375,1.375
15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.508,1.388,1.310,1.538,1.541
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4.508,1.388,1.141,1.244,1.248
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,4.511,1.388,1.207,1.504,1.772
19,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,28,0,4.530,1.388,1.322,1.672,1.761
25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,19,0,0,4.546,1.381,1.582,1.713,1.717
24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,4.555,1.387,1.514,1.643,1.647
26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.555,1.387,1.516,1.649,1.660
15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,4.555,1.388,0.983,1.358,2.410
22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,4.555,1.388,1.421,1.611,1.616
29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.555,1.388,1.905,2.119,2.121
22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,4.592,1.388,1.388,1.512,1.516
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.601,1.381,0.766,0.817,0.818
22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.656,1.388,1.524,1.611,1.611
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.678,1.360,1.067,1.112,1.113
20,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,28,43,0,4.678,1.387,1.210,1.758,2.067
27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,4.656,1.388,1.863,2.091,2.097
15,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,29,0,4.656,1.387,1.010,1.323,1.371
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.656,1.388,2.023,2.081,2.081
13,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,27,26,0,0,4.635,1.382,1.031,1.535,1.806
24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,4.643,1.387,1.455,1.752,2.013
31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4.665,1.387,2.047,2.212,2.214
