OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176580907                                            
Config info:
GSC,1.000
LaserDAC,210
FanDAC,255
ToFtoSFRfactor,98
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050,1.050
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
316,72,21,11,1,3,2,0,0,0,0,0,0,0,0,0,21,26,125,0,4.667,1.398,17.385,20.664,21.126
294,48,21,12,0,4,1,0,0,0,0,0,0,0,0,0,22,26,107,0,4.570,1.380,15.690,18.710,19.041
278,62,29,9,0,1,0,0,0,0,0,0,0,0,0,0,22,27,114,0,4.512,1.387,16.624,19.668,19.746
292,55,30,8,1,0,2,0,0,0,0,0,0,0,0,0,21,25,0,0,4.584,1.387,16.498,19.716,20.107
276,76,26,6,0,2,0,0,0,0,0,0,0,0,0,0,21,27,162,0,4.625,1.387,16.715,19.634,19.729
287,74,27,10,0,3,0,0,0,0,0,0,0,0,0,0,22,27,124,0,4.538,1.387,17.494,20.785,20.920
281,68,19,9,1,3,1,1,0,0,1,0,0,0,0,0,23,40,85,49,4.395,1.387,16.812,20.109,32.180
293,78,31,8,0,1,0,1,1,0,0,0,0,0,0,0,21,24,27,43,4.527,1.380,18.345,22.006,24.993
282,68,28,10,1,3,1,0,0,0,0,0,0,0,0,0,21,33,55,0,4.596,1.387,16.819,20.262,20.571
327,92,32,10,0,1,1,0,1,0,0,0,0,0,0,0,21,26,133,0,4.631,1.387,20.051,23.929,26.349
299,83,18,12,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,0,4.541,1.387,17.824,20.571,20.619
286,72,18,14,1,6,1,0,0,0,0,0,0,0,0,0,24,41,111,0,4.300,1.387,17.710,21.360,21.780
296,73,30,7,1,3,0,0,0,0,0,0,0,0,0,0,22,29,90,0,4.376,1.387,18.602,22.095,22.238
288,72,16,4,2,1,0,0,0,0,0,0,0,0,0,0,24,22,39,0,4.225,1.387,17.654,20.176,20.250
278,71,26,6,2,2,1,0,0,0,0,0,0,0,0,0,22,24,84,0,4.337,1.380,17.694,21.052,21.347
263,83,22,6,0,5,0,0,0,0,0,0,0,0,0,0,26,26,130,0,4.033,1.387,18.813,22.300,22.500
299,91,25,5,1,3,0,1,0,0,0,0,0,0,0,0,25,27,148,33,3.976,1.387,21.393,25.262,26.175
320,77,30,10,1,2,0,0,0,0,0,0,0,0,0,0,23,26,73,0,4.113,1.387,21.108,24.954,25.083
295,84,23,5,1,0,0,0,0,0,0,0,0,0,0,0,20,27,0,0,4.472,1.387,18.243,21.042,21.086
280,74,30,10,0,2,0,0,0,0,0,0,0,0,0,0,21,27,112,0,4.567,1.387,17.345,20.675,20.784
311,70,20,7,2,3,0,0,0,0,0,0,0,0,0,0,21,25,70,0,4.617,1.381,17.329,20.172,20.306
294,73,27,9,0,1,1,0,0,0,0,0,0,0,0,0,19,24,25,0,4.872,1.387,16.442,19.439,19.668
290,85,23,11,1,4,2,1,0,0,0,1,0,0,0,0,20,25,94,37,4.886,1.387,16.758,20.396,44.023
308,102,26,10,0,3,2,0,0,0,0,0,0,0,0,0,20,25,63,0,4.893,1.387,18.508,22.116,22.556
295,78,18,6,0,1,1,0,0,0,0,0,0,0,0,0,21,26,29,0,4.777,1.387,16.381,18.909,19.128
281,86,40,8,2,1,1,0,0,0,0,0,0,0,0,0,20,24,25,0,4.838,1.387,17.810,21.664,21.917
309,87,32,4,1,2,1,0,0,0,0,0,0,0,0,0,19,22,122,0,4.993,1.381,17.683,20.948,21.198
266,69,20,5,0,1,1,0,0,0,0,0,0,0,0,0,20,24,124,0,4.946,1.387,14.447,16.824,17.035
293,76,22,6,0,0,2,0,0,0,0,0,0,0,0,0,20,25,0,0,4.923,1.387,15.989,18.677,19.024
286,77,27,7,1,2,0,0,0,0,0,0,0,0,0,0,20,26,125,0,4.911,1.387,16.243,19.157,19.256
293,78,31,11,0,2,3,0,0,0,0,0,0,0,0,0,20,25,79,0,4.906,1.387,16.927,20.610,21.186
315,64,26,6,0,1,0,0,0,1,0,0,0,0,0,0,20,24,125,0,4.903,1.387,16.392,19.094,24.437
310,86,36,6,1,2,0,0,1,0,0,0,0,0,0,0,19,27,80,0,5.027,1.387,17.774,21.287,23.389
283,88,26,8,0,3,1,0,0,1,0,0,0,0,0,0,21,24,127,0,4.840,1.381,17.053,20.428,26.084
286,80,17,10,1,4,0,0,0,0,0,0,0,0,0,0,21,24,101,0,4.752,1.387,16.325,19.167,19.321
270,57,24,10,0,1,0,0,0,0,0,0,0,0,0,0,20,27,117,0,4.823,1.387,14.643,17.223,17.294
298,81,29,15,5,1,0,1,0,0,0,0,0,0,0,0,21,25,29,37,4.743,1.387,17.853,21.675,22.442
281,70,28,6,1,1,0,0,0,0,0,0,0,0,0,0,21,26,117,0,4.705,1.387,16.403,19.284,19.359
305,88,25,7,2,3,1,2,0,0,1,0,0,0,0,0,21,26,30,30,4.686,1.387,18.248,22.024,34.006
282,74,21,7,0,1,0,0,1,0,0,0,0,0,0,0,20,25,25,0,4.790,1.380,15.957,18.651,20.823
296,76,32,4,0,5,1,0,0,0,0,0,0,0,0,0,20,22,103,0,4.845,1.387,17.059,20.479,20.807
267,80,23,11,1,3,0,0,0,0,0,0,0,0,0,0,20,25,104,0,4.872,1.387,15.712,18.720,18.852
277,97,31,7,2,1,0,0,0,0,0,0,0,0,0,0,18,26,23,0,5.142,1.387,16.602,19.734,19.814
302,82,28,11,0,2,2,0,1,0,0,0,0,0,0,0,19,24,111,0,5.150,1.387,16.430,19.866,22.215
278,75,23,7,0,2,0,0,0,0,0,0,0,0,0,0,19,25,110,0,5.154,1.387,14.831,17.343,17.428
286,88,26,11,1,2,1,0,0,0,0,0,0,0,0,0,21,26,126,0,4.898,1.381,17.020,20.337,20.603
266,83,18,6,1,0,0,0,0,0,0,0,0,0,0,0,20,27,0,0,4.899,1.387,15.279,17.593,17.631
294,83,22,11,0,3,1,0,0,1,0,0,0,0,0,0,23,27,90,0,4.558,1.387,17.882,21.331,27.312
307,78,32,9,0,3,1,0,0,0,0,0,0,0,0,0,22,26,95,0,4.506,1.387,18.980,22.740,23.049
288,84,25,2,1,2,0,0,0,0,0,0,0,0,0,0,20,28,28,0,4.695,1.387,17.227,20.030,20.120
280,71,32,10,2,1,0,0,0,0,0,0,0,0,0,0,21,27,129,0,4.681,1.387,16.912,20.257,20.352
285,75,32,3,0,6,0,0,0,1,0,0,0,0,0,0,20,27,117,0,4.788,1.387,16.803,20.256,25.859
295,60,19,9,1,2,0,0,0,0,0,0,0,0,0,0,20,26,74,0,4.843,1.381,15.323,17.807,17.905
289,92,31,4,0,1,0,0,0,0,0,0,0,0,0,0,20,25,43,0,4.871,1.387,17.552,20.582,20.646
272,88,24,6,0,3,1,0,0,0,0,0,0,0,0,0,20,27,115,0,4.886,1.387,16.254,19.271,19.543
297,97,29,8,2,1,1,0,0,0,0,0,0,0,0,0,21,27,123,0,4.774,1.387,18.462,21.948,22.196
304,78,24,7,1,2,0,1,0,0,0,0,0,0,0,0,21,35,34,45,4.720,1.387,17.383,20.457,21.203
281,79,34,4,0,3,1,0,0,0,0,0,0,0,0,0,21,28,64,0,4.693,1.387,17.393,20.869,21.156
291,72,27,4,0,6,1,0,0,0,0,0,0,0,0,0,21,25,120,0,4.680,1.381,16.949,20.286,20.650
285,57,30,7,1,2,0,0,0,0,0,0,0,0,0,0,26,33,72,0,4.187,1.387,17.907,21.253,21.371
312,73,19,5,1,1,0,0,0,0,0,0,0,0,0,0,19,25,27,0,4.622,1.360,17.642,20.177,20.244
307,80,23,6,1,1,0,0,0,0,0,0,0,0,0,0,20,21,113,0,4.757,1.387,17.364,20.094,20.164
281,67,26,1,0,1,0,0,1,0,0,0,0,0,0,0,20,21,125,0,4.827,1.387,15.540,18.117,20.252
298,71,22,9,4,0,1,0,0,1,0,0,0,0,0,0,21,31,0,0,4.746,1.387,16.580,19.644,25.332
309,75,27,6,0,0,1,0,0,0,0,0,0,0,0,0,20,24,0,0,4.822,1.387,17.176,20.026,20.225
309,87,36,5,2,6,1,0,0,0,0,0,0,0,0,0,18,36,117,0,5.114,1.381,17.589,21.377,21.732
299,76,36,8,3,5,0,0,1,0,0,0,0,0,0,0,19,24,114,0,5.136,1.387,16.578,20.329,22.478
300,87,25,7,0,0,1,0,0,0,0,0,0,0,0,0,19,24,0,0,5.147,1.387,16.348,19.076,19.263
308,92,28,9,1,1,0,0,0,0,0,0,0,0,0,0,21,26,127,0,4.895,1.387,18.022,21.174,21.253
262,79,28,8,1,3,0,0,0,0,0,0,0,0,0,0,21,26,121,0,4.778,1.387,16.083,19.255,19.387
274,81,28,8,1,0,0,0,0,0,0,0,0,0,0,0,20,46,0,0,4.838,1.387,16.389,19.301,19.352
309,78,23,6,1,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,4.869,1.381,16.976,19.550,19.592
272,67,25,5,1,5,0,0,1,0,0,0,0,0,0,0,21,25,85,0,4.766,1.387,15.488,18.611,20.896
327,74,40,10,2,2,0,1,0,0,0,0,0,0,0,0,20,38,122,39,4.832,1.387,18.764,22.726,23.481
288,72,31,10,3,0,0,1,0,0,0,0,0,0,0,0,19,24,0,37,4.990,1.387,16.127,19.361,20.041
264,61,23,3,2,2,0,1,1,0,0,0,0,0,0,0,20,27,121,41,4.944,1.387,14.122,16.844,19.586
261,97,35,8,0,3,1,0,0,0,0,0,0,0,0,0,19,24,95,0,5.049,1.387,16.675,20.281,20.558
309,61,18,3,1,2,1,0,0,0,0,0,0,0,0,0,20,24,124,0,4.973,1.381,15.249,17.536,17.773
315,75,21,4,0,3,1,0,0,0,0,0,0,0,0,0,20,26,62,0,4.936,1.387,16.539,19.201,19.463
313,73,14,6,2,1,0,0,0,0,0,0,0,0,0,0,21,26,119,0,4.798,1.387,16.372,18.615,18.683
253,77,29,5,1,3,1,0,0,0,0,0,0,0,0,0,23,41,84,0,4.513,1.387,16.577,19.977,20.280
313,84,19,13,1,2,1,1,0,1,0,0,0,0,0,0,20,27,130,33,4.699,1.387,17.913,21.358,27.792
292,68,33,6,0,1,0,0,0,0,0,0,0,0,0,0,19,24,25,0,4.918,1.387,16.292,19.231,19.299
275,76,24,9,1,0,0,0,0,0,0,0,0,0,0,0,20,25,0,0,4.909,1.387,15.637,18.302,18.351
281,71,29,7,0,2,0,0,0,0,0,0,0,0,0,0,22,34,114,0,4.671,1.382,16.738,19.790,19.889
284,52,18,6,0,1,1,0,0,0,0,0,0,0,0,0,20,27,35,0,4.774,1.387,14.458,16.699,16.918
